restaurant_name,restaurant_link
Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-boston-2?osq=Restaurants
Krasi,https://www.yelp.com/biz/krasi-boston-2?osq=Restaurants
Saltie Girl,https://www.yelp.com/biz/saltie-girl-boston?osq=Restaurants
Rochambeau,https://www.yelp.com/biz/rochambeau-boston-2?osq=Restaurants
Piattini,https://www.yelp.com/biz/piattini-boston-3?osq=Restaurants
LUCIE drink + dine,https://www.yelp.com/biz/lucie-drink-dine-boston-2?osq=Restaurants
Atlantic Fish Co,https://www.yelp.com/biz/atlantic-fish-co-boston-3?osq=Restaurants
Pressed Cafe,https://www.yelp.com/biz/pressed-cafe-boston-2?osq=Restaurants
Buttermilk & Bourbon,https://www.yelp.com/biz/buttermilk-and-bourbon-boston-2?osq=Restaurants
Eataly Boston,https://www.yelp.com/biz/eataly-boston-boston?osq=Restaurants
PURO ceviche bar,https://www.yelp.com/biz/puro-ceviche-bar-boston?osq=Restaurants
RED WHITE BUDDHA RAMEN,https://www.yelp.com/biz/red-white-buddha-ramen-boston-30?osq=Restaurants
Bar à vin 1855,https://www.yelp.com/biz/bar-%C3%A0-vin-1855-boston?osq=Restaurants
Santouka Back Bay,https://www.yelp.com/biz/santouka-back-bay-boston-2?osq=Restaurants
GreCo,https://www.yelp.com/biz/greco-boston-3?osq=Restaurants
Zuma,https://www.yelp.com/biz/zuma-boston-2?osq=Restaurants
Saigon Fusion,https://www.yelp.com/biz/saigon-fusion-boston-2?osq=Restaurants
Back Bay Social,https://www.yelp.com/biz/back-bay-social-boston?osq=Restaurants
Boston Burger - Boston,https://www.yelp.com/biz/boston-burger-boston-boston-2?osq=Restaurants
Abe & Louie’s,https://www.yelp.com/biz/abe-and-louies-boston-2?osq=Restaurants
The Capital Burger,https://www.yelp.com/biz/the-capital-burger-boston?osq=Restaurants
Terra at Eataly Boston,https://www.yelp.com/biz/terra-at-eataly-boston-boston?osq=Restaurants
C G K-Crazy Good Kitchen,https://www.yelp.com/biz/c-g-k-crazy-good-kitchen-boston?osq=Restaurants
Sonsie,https://www.yelp.com/biz/sonsie-boston?osq=Restaurants
